Title,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author,Number of Pages
Surrounded by Idiots (The Surrounded by Idiots Series),63,4.5,8537,12.39,Interpersonal Relations,Essentials,St. Martin's Essentials,Beach Kids,304
A Little Life,65,4.5,67235,10.90,Family Saga,Anchor,Anchor,Hanya Yanagihara,832
"Throne of Glass (Throne of Glass, 1)",66,4.5,81630,12.41,Fantasy,Bloomsbury Publishing,CALOTO,Sarah J. Maas,432
Meditations: A New Translation,67,4.7,19932,7.90,Classics,Modern Library,Library,Marcus Aurelius,256
The Exchange: After The Firm (The Firm Series),68,4.0,30207,15.07,Genre Fiction,Doubleday,,John Grisham,352
The Silent Patient,70,4.4,284041,9.17,Psychological,Celadon Books,Celadon Books,Alex Michaelides,368
Dad Jokes: Over 600 of the Best (Worst) Jokes Around and Perfect Christmas Gag Gift for All Ages! (World's Best Dad Jokes Collection),71,4.7,7043,5.35,Jokes & Riddles,Sourcebooks,Sourcebooks,Jimmy Niro,160
Demon Copperhead: A Pulitzer Prize Winner,71,4.6,82946,19.00,Historical,Harper,,Barbara Kingsolver,560
My Life with the Walter Boys,72,4.3,3862,9.96,Dating & Sex,Sourcebooks Fire,Sourcebooks Fire,Ali Novak,400
The Stillwater Girls,75,4.4,30730,7.19,Psychological,Thomas & Mercer,Thomas & Mercer,Minka Kent,256
All the Light We Cannot See: A Novel,76,4.5,220054,7.21,Military,Scribner,Scribner,Anthony Doerr,560
"Divine Rivals: A Novel (Letters of Enchantment, 1)",76,4.4,26924,13.38,Magical Realism,Wednesday Books,,Rebecca Ross,368
"A Court of Silver Flames (A Court of Thorns and Roses, 5)",77,4.8,115537,13.27,Fantasy,Bloomsbury Publishing,Generic,Sarah J. Maas,784
Jeopardy! 2024 Day-to-Day Calendar,78,4.9,183,13.49,Performing Arts,Andrews McMeel Publishing,,Sony Sony,740
"Murdle: Volume 1 (Murdle, 1)",79,4.7,846,7.63,Logic & Brain Teasers,Griffin,,G T Karber,384
"Twisted Games (Twisted, 2)",80,4.4,53874,10.21,Contemporary,Bloom Books,,Ana Huang,448
"The 2024 Old Farmer’s Almanac Trade Edition: A Gift for Farmers (Old Farmer's Almanac, 232)",81,4.8,1814,5.42,Almanacs & Yearbooks,Old Farmer's Almanac,,Almanac Old,288
Guinness World Records 2024,82,4.8,326,14.97,Trivia & Fun Facts,Guinness World Records,,Records Guinness,256
"A Court of Frost and Starlight (A Court of Thorns and Roses, 4)",83,4.3,84606,11.06,Folklore,Bloomsbury Publishing,Bloomsbury Publishing,Sarah J. Maas,272
Man's Search for Meaning,84,4.7,85021,9.47,Historical,Beacon Press,Beacon Press,Viktor E. Frankl,184
"HR Approved Ways to Tell Employees They're Stupid: 52 Week Planner - Each Week has A Witty Phrase & Blank Lined Notebook Pages, Funny Sarcastic Gag ... Employees, Gift For Boss, Gift For Managers",85,3.9,230,7.97,Leadership & Motivation,Independently published,,Mr Jerry Lee,105
"Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present (The Path to Calm)",86,4.5,9381,9.95,Dreams,Independently published,,Nick Trenton,200
Remarkably Bright Creatures: A Read with Jenna Pick,87,4.6,49453,14.95,Family Life,Ecco,,Shelby Van Pelt,368
American Prometheus: The Inspiration for the Major Motion Picture OPPENHEIMER,88,4.7,9599,14.69,United States,Vintage Books,Vintage,Kai Bird,721
The Great Disappearance: 31 Ways to be Rapture Ready,89,4.8,1503,17.97,Social Issues,Thomas Nelson,,Dr. David Jeremiah,320
"my father's eyes, my mother's rage",90,4.7,186,14.06,Canadian,library and archives canada,,rose brik,252
The Very Hungry Caterpillar,91,4.9,73535,5.10,Bugs & Spiders,World of Eric Carle,World of Eric Carle,Eric Carle,26
Can't Hurt Me: Master Your Mind and Defy the Odds,92,4.8,92572,18.74,Motivational,Lioncrest Publishing,Lioncrest Publishing,David Goggins,364
"The Night Before Christmas Hardcover: The Classic Edition, The New York Times Bestseller (Christmas Book)",93,4.9,11464,9.97,Christmas,Applesauce Press,Applesauce Press,Clement Moore,48
Holly,94,4.5,22270,13.90,Horror,Scribner,,Stephen King,464
The Pivot Year,94,4.7,271,17.99,Personal Transformation,Thought Catalog Books,THOUGHT CATALOG,Wiest Brianna,386
Powerless (The Powerless Trilogy),95,4.5,3490,14.98,Literature & Fiction,Simon & Schuster Books for Young Readers,KAVNLON,Lauren Roberts,528
"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Love Workbook and Journal)",96,4.7,19990,5.43,Codependency,Rockridge Press,Rockridge Press,Megan Logan MSW  LCSW,174
The Housemaid's Secret,96,4.4,116161,8.37,Psychological Thrillers,Mobius,,Freida McFadden,352
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series),98,4.8,24485,7.94,Motivational,TarcherPerigee,Tarcherperigee,Hill Napoleon,320
"Stress Relief: Adult Coloring Book with Animals, Landscape, Flowers, Patterns, Mushroom And Many More For Relaxation",99,4.6,504,8.99,Art Therapy & Relaxation,Independently published,Generic,Kytefox Publishing,106
Murtagh: The World of Eragon (The Inheritance Cycle),100,4.7,2219,20.62,Spine-Chilling Horror,Knopf Books for Young Readers,,Christopher Paolini,704
"Twisted Hate (Twisted, 3)",101,4.4,39913,10.99,United States,Bloom Books,,Ana Huang,512
Berserk Deluxe Volume 1,102,4.9,15172,28.49,Fantasy,Dark Horse Manga,Dark Horse Manga,Jason DeAngelis,696
How to Catch a Dinosaur,103,4.8,14857,5.49,Dinosaurs,Sourcebooks Wonderland,Sourcebooks Wonderland,Adam Wallace,40
Llewellyn's 2024 Witches' Calendar,104,4.8,254,11.76,Witchcraft,Llewellyn Publications,,Llewellyn Llewellyn,28
Things We Never Got Over (Knockemout),105,4.5,165340,7.89,Small Town & Rural,Bloom Books,Generic,Lucy Score,570
The 12 Week Year: Get More Done in 12 Weeks than Others Do in 12 Months,106,4.7,6821,15.58,Guides,Wiley,Wiley,Brian P. Moran,208
"Twisted Lies (Twisted, 4)",107,4.5,40604,10.82,Contemporary,Bloom Books,,Ana Huang,560
What to Expect When You're Expecting,108,4.8,31725,2.94,Pregnancy & Childbirth,Workman Publishing Company,Workman Publishing Company,Heidi Murkoff,656
House of Earth and Blood (Crescent City),109,4.7,72463,13.34,Fantasy,Bloomsbury Publishing,Bloomsbury Publishing,Sarah J. Maas,816
"Harry Potter and the Prisoner of Azkaban (Harry Potter, Book 3) (MinaLima Edition)",110,4.9,1443,25.37,Friendship,Scholastic Inc.,,J. K. Rowling,480
"The Assassin's Blade: The Throne of Glass Prequel Novellas (Throne of Glass, 8)",111,4.5,27630,12.42,Fantasy,Bloomsbury Publishing,CALOTO,Sarah J. Maas,464
The Art of Mixology: Classic Cocktails and Curious Concoctions,112,4.7,10086,11.99,Cocktails & Mixed Drinks,Parragon Books,Cottage Door Press,Books Parragon,192
365 Cats Page-A-Day Calendar 2024: The World's Favorite Cat Calendar,113,4.9,407,12.74,Plants & Animals,Workman Publishing Company,Workman Publishing,Calendars Workman,640
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,114,4.6,144117,9.99,Happiness,Harper,Harper,Mark Manson,224
I Love You to the Moon and Back,115,4.9,68359,4.76,Bears,Tiger Tales,Tiger Tales,Hepworth Amelia,28
